"Paper","Property_reg","Geopol_c_a","C_study_geo","Year","seed","farmer","variety","plant","right","food","crop","system","genetic","resource","country","patent","breeding","community","protection","breeder","local","production","agricultural","law","development","state","company","public","property","research","common","agriculture","market","access","government","international","technology","national","knowledge","gene","material","product","traditional","sector","policy","process","benefit","intellectual","sovereignty","practice","legal","maize","private","diversity","people","world","land","cultivar","developing","upov","security","agreement","wheat","global","cluster"
"86_limpio.txt","Common","LAC","LAC",2023,142,4,3,0,3,27,11,10,1,2,3,1,1,73,1,0,29,13,8,6,4,5,0,1,0,1,14,34,11,1,6,3,3,2,1,0,1,0,2,1,1,6,0,0,35,7,2,30,0,0,18,5,20,0,0,1,5,0,0,8,"1"
"87_limpio.txt","Common","LAC","LAC",2024,34,6,4,24,6,13,15,26,12,13,15,0,8,50,4,3,2,11,8,2,9,5,4,3,0,0,11,27,4,3,7,7,4,4,5,0,0,0,1,11,3,8,4,0,10,9,3,9,4,9,9,8,1,0,0,2,2,2,0,25,"1"
"88_limpio.txt","Private/State","LAC","Africa",2024,210,50,5,0,0,1,1,16,0,1,0,0,2,11,0,0,10,10,5,0,20,0,89,3,0,2,3,1,12,7,66,0,0,1,6,0,0,37,0,13,1,15,7,0,0,2,0,6,5,0,1,0,2,0,0,0,1,0,0,0,"2"
"89_limpio.txt","Private/State","Asia-Pacific","Asia-Pacific",2024,1,0,4,0,1,3,2,19,0,7,1,0,63,0,1,0,2,1,5,0,13,2,0,0,3,41,0,1,8,1,47,0,2,1,1,0,2,0,2,2,11,8,40,3,0,2,0,0,0,0,0,6,7,0,0,0,3,1,0,0,"1"
"90_limpio.txt","State","Asia-Pacific","Asia-Pacific",2024,13,35,58,50,37,3,18,10,4,3,16,4,6,10,15,24,24,3,5,4,4,4,10,7,3,6,1,6,2,2,4,3,4,1,1,0,3,1,11,8,0,7,3,2,0,0,9,0,2,1,4,3,3,0,0,28,0,3,0,0,"3"
"91_limpio.txt","Private/State","Asia-Pacific","Asia-Pacific",2024,23,15,23,39,22,4,4,4,6,9,6,55,2,1,12,5,0,1,10,6,6,7,7,6,9,4,1,13,0,1,0,3,8,8,1,24,3,4,1,3,1,2,9,9,0,2,8,0,3,2,0,1,0,1,4,1,2,4,0,2,"4"
"92_limpio.txt","State","Asia-Pacific","Asia-Pacific",2024,10,4,7,51,37,5,0,5,4,2,19,136,1,0,21,2,0,8,6,35,9,9,1,11,5,9,2,7,2,4,2,3,9,5,2,5,10,43,0,1,10,42,3,3,1,2,7,0,0,0,0,0,1,0,2,1,3,16,0,0,"4"
"93_limpio.txt","SD","Africa","Africa",2024,7,10,0,1,10,14,0,2,1,2,0,0,0,4,0,0,2,0,4,0,2,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,1,0,1,4,0,1,7,0,0,0,0,2,0,1,0,0,0,0,4,0,0,0,"3"
"94_limpio.txt","SD","Asia-Pacific","Asia-Pacific",2024,14,82,93,40,19,15,14,14,2,3,5,2,6,11,21,20,12,3,9,6,3,1,0,2,4,3,1,5,0,2,1,6,6,2,6,0,0,0,11,2,2,7,3,3,0,2,4,0,2,2,3,2,1,1,2,8,10,2,0,0,"3"
"95_limpio.txt","SD","Western Europe","Western Europe",2024,1,90,0,0,21,35,5,11,0,18,5,0,0,12,1,0,43,17,12,7,4,13,3,18,16,3,14,3,26,57,3,3,2,13,4,0,2,11,9,1,3,18,12,0,9,28,10,0,8,2,11,1,117,0,0,0,3,4,1,4,"1"
"96_limpio.txt","SD","Asia-Pacific","Asia-Pacific",2024,19,4,47,2,1,2,21,0,0,0,2,1,0,0,0,2,0,3,4,0,10,1,6,2,1,9,0,1,11,0,2,0,73,2,0,1,0,2,1,0,2,1,0,1,0,1,0,0,6,0,0,0,4,0,0,0,1,0,0,0,"4"
"97_limpio.txt","SD","Asia-Pacific","Asia-Pacific",2024,164,86,50,21,26,4,13,16,3,2,10,8,1,41,3,19,21,8,8,5,6,7,3,9,1,12,2,12,3,4,16,3,6,9,10,5,0,2,25,11,14,3,2,1,5,9,1,0,8,5,1,4,3,0,2,0,5,8,2,4,"1"
"98_limpio.txt","SD","Western Europe","LAC",2024,30,33,51,60,60,17,0,14,6,3,7,0,3,13,21,22,1,2,16,43,9,18,3,3,8,1,5,4,7,5,2,12,0,10,16,0,4,5,30,13,1,5,0,5,10,27,31,0,0,3,8,0,0,0,1,8,4,7,0,0,"3"
"99_limpio.txt","SD","Western Europe","Asia-Pacific",2024,11,191,206,43,43,0,27,0,32,13,7,1,6,102,16,55,24,0,12,4,20,15,0,33,2,7,9,1,4,3,17,1,0,0,12,14,41,0,7,1,0,14,44,0,0,0,5,0,1,2,3,0,7,0,5,1,0,1,0,0,"3"
"100_limpio.txt","SD","Western Europe","Global",2024,187,65,36,32,374,73,20,27,36,108,4,16,8,69,36,7,33,15,18,62,41,58,4,12,32,10,6,11,8,29,6,62,18,15,22,2,11,3,34,1,12,9,40,19,72,12,22,0,1,11,83,6,24,3,2,9,5,9,0,10,"3"
"101_limpio.txt","SD","Africa","Africa",2024,245,40,22,1,0,0,2,79,2,8,14,0,8,16,0,6,11,10,5,2,5,0,11,6,0,10,16,1,19,28,1,1,2,5,0,0,2,3,1,4,15,2,14,0,0,3,0,1,7,0,3,0,2,0,2,0,2,0,0,0,"1"
"102_limpio.txt","SD","Western Europe","Western Europe",2024,25,30,59,4,0,15,0,9,0,0,2,0,7,27,1,3,70,40,8,0,6,1,2,2,0,6,1,7,3,2,10,2,0,1,3,0,1,25,3,1,3,1,3,0,6,1,0,0,0,0,8,4,0,0,0,0,0,0,86,2,"1"
"103_limpio.txt","SD","Africa","Africa",2024,67,139,140,11,4,14,39,23,34,13,7,0,12,0,0,6,57,12,58,0,26,18,4,6,4,62,1,10,23,3,9,25,15,32,12,4,20,6,0,23,9,6,1,4,0,15,0,61,7,6,0,6,3,3,4,0,2,0,1,6,"1"
"104_limpio.txt","SD","Africa","Africa",2025,50,54,28,33,107,73,1,40,20,23,7,9,2,25,22,9,5,5,6,41,16,39,0,4,16,2,0,9,6,21,3,15,5,16,14,0,8,4,13,2,13,4,8,16,0,6,8,0,1,3,10,3,1,0,3,15,16,19,0,6,"3"
"105_limpio.txt","SD","Africa","Mixed",2025,18,50,86,45,61,7,4,22,9,4,18,4,7,7,44,58,1,1,4,6,6,5,2,2,0,2,0,1,1,3,0,4,5,4,4,5,7,6,7,1,0,0,3,0,0,1,0,0,0,0,0,0,1,0,0,25,7,10,0,0,"3"
"106_limpio.txt","SD","Western Europe","LAC",2025,175,99,27,33,65,32,14,8,18,16,13,7,0,6,8,6,4,23,14,52,12,13,24,0,5,0,1,3,8,9,14,20,1,6,7,1,2,7,7,20,7,6,3,3,16,7,4,4,2,6,10,2,25,0,4,8,6,5,3,3,"1"
"107_limpio.txt","SD","Asia-Pacific","Asia-Pacific",2025,87,1,167,4,1,0,23,15,0,5,2,0,15,1,2,10,0,0,0,4,1,0,50,21,1,3,2,1,32,2,5,0,12,4,0,0,0,0,0,5,29,3,0,0,0,2,0,14,16,0,1,0,0,0,1,0,0,1,1,0,"1"
