"Paper","Property_reg","Geopol_c_a","C_study_geo","Year","seed","farmer","variety","plant","right","food","crop","system","genetic","resource","country","patent","breeding","community","protection","breeder","local","production","agricultural","law","development","state","company","public","property","research","common","agriculture","market","access","government","international","technology","national","knowledge","gene","material","product","traditional","sector","policy","process","benefit","intellectual","sovereignty","practice","legal","maize","private","diversity","people","world","land","cultivar","developing","upov","security","agreement","wheat","global","cluster"
"20_limpio.txt","Private","Western Europe","Global",2014,12,1,19,50,21,3,5,12,8,2,3,33,25,2,20,29,0,1,0,1,2,2,5,1,6,3,0,0,1,8,1,6,7,4,0,2,10,1,1,14,0,11,0,5,0,0,2,0,0,0,1,4,0,8,1,8,3,4,0,2,"3"
"21_limpio.txt","Common","Western Europe","Western Europe",2014,175,74,34,61,41,10,10,9,30,27,3,33,34,14,8,38,3,7,4,24,10,11,28,33,24,15,25,5,8,15,0,9,9,2,5,17,35,1,2,5,3,6,9,22,34,8,15,1,12,4,2,9,6,15,1,10,0,7,2,19,"3"
"22_limpio.txt","Common","Western Europe","Asia-Pacific",2014,72,167,99,42,143,21,7,10,27,32,14,33,4,12,20,21,5,5,12,12,5,27,8,29,17,6,3,10,2,9,32,11,2,25,15,8,16,5,10,9,8,14,12,10,11,4,10,0,15,10,3,1,1,2,2,22,7,9,3,6,"3"
"23_limpio.txt","Common","Western Europe","Global",2014,31,40,78,88,47,35,22,32,33,36,92,16,32,12,33,14,4,11,16,4,13,22,12,21,40,34,17,7,12,36,14,28,4,15,9,6,19,14,2,13,4,5,28,20,8,5,12,2,8,6,7,21,2,1,29,7,6,21,2,26,"3"
"24_limpio.txt","Common","Western Europe","Africa",2015,13,15,77,9,1,0,4,1,32,1,3,0,3,0,0,0,5,2,2,0,1,0,0,0,0,1,1,0,2,2,0,0,0,0,1,4,0,0,34,0,1,1,0,0,0,7,0,2,1,31,0,0,0,0,0,0,0,0,24,0,"3"
"25_limpio.txt","Common","Western Europe","Global",2015,256,187,41,8,5,7,29,29,5,2,5,0,3,9,1,1,23,6,18,1,6,3,0,1,6,12,4,6,21,24,0,2,0,4,2,2,22,1,3,7,16,1,6,1,2,4,0,4,2,18,2,7,0,1,8,0,1,0,2,1,"1"
"26_limpio.txt","Private/State","Asia-Pacific","Asia-Pacific",2015,20,1,4,18,2,0,29,7,4,3,18,27,8,0,2,0,0,1,10,0,3,2,3,15,6,13,0,10,4,1,1,5,30,4,0,0,3,7,0,21,6,1,0,6,0,0,2,0,17,0,0,0,0,0,11,0,0,2,0,5,"4"
"27_limpio.txt","Common","Africa","Africa",2015,75,26,7,8,3,14,14,27,6,6,2,0,6,1,1,1,6,8,4,3,8,4,3,5,0,4,1,8,7,6,3,8,3,4,2,0,1,0,3,7,5,3,1,0,5,5,1,4,8,16,1,2,2,0,0,1,3,0,1,2,"1"
"28_limpio.txt","Common","Western Europe","Western Europe",2015,222,36,38,22,3,122,22,13,6,4,0,4,2,36,4,7,45,12,24,1,7,9,7,7,2,11,1,10,5,8,6,2,5,2,7,1,4,1,9,1,5,9,0,2,23,3,1,0,1,8,21,4,4,0,2,0,16,2,0,4,"1"
"29_limpio.txt","State","Asia-Pacific","Asia-Pacific",2016,4,10,13,41,15,17,55,10,49,48,30,4,8,2,4,8,0,7,7,6,7,0,0,1,6,12,4,16,0,16,4,20,5,16,2,5,12,3,0,1,8,8,7,6,1,0,2,1,2,16,0,6,2,1,8,0,6,14,3,4,"3"
"30_limpio.txt","Private/Common","LAC","LAC",2016,29,16,90,15,60,15,43,10,57,85,14,2,5,7,1,13,0,3,6,1,7,15,1,24,54,5,42,2,16,11,6,4,1,0,3,1,9,4,2,1,1,1,19,2,4,1,3,0,18,5,18,9,15,0,4,0,10,6,0,16,"3"
"31_limpio.txt","Private/State","Asia-Pacific","Asia-Pacific",2016,5,0,1,0,0,0,1,16,0,0,0,0,6,0,4,0,0,0,1,1,1,1,1,0,3,10,0,0,4,0,5,0,5,2,0,0,1,1,0,0,4,1,7,4,0,0,3,0,0,0,0,0,0,0,0,0,2,0,0,0,"1"
"32_limpio.txt","Private/Common","Western Europe","Africa",2016,84,16,66,10,0,16,44,8,22,2,72,0,6,0,0,0,9,26,17,0,14,0,15,0,0,3,0,4,27,2,1,6,2,2,2,1,4,50,2,2,0,5,2,0,0,1,0,1,5,14,1,20,1,1,53,0,10,0,3,7,"1"
"33_limpio.txt","Common","Western Europe","LAC",2016,124,22,6,13,18,17,6,15,7,7,6,3,3,17,4,5,16,4,8,7,6,6,6,5,6,0,5,7,10,2,10,6,1,3,11,2,6,2,5,0,2,6,4,5,13,0,7,2,0,0,3,1,5,1,0,6,2,5,0,1,"1"
"34_limpio.txt","Open_source","Western Europe","LAC",2017,203,49,47,28,11,11,10,60,16,10,23,4,5,8,6,12,16,12,19,72,4,28,7,6,4,2,12,15,8,3,6,6,2,16,6,0,7,3,0,11,5,9,2,3,16,13,13,1,10,4,5,13,2,4,1,17,4,7,1,16,"1"
"35_limpio.txt","Common","LAC","LAC",2017,8,26,13,5,5,53,10,15,1,6,7,0,0,1,1,0,15,27,8,0,0,1,2,5,0,0,9,8,13,3,1,1,3,7,1,0,6,5,2,3,2,10,2,0,0,11,1,0,0,4,9,1,27,0,0,0,6,1,0,3,"1"
